DATE,oilProduction
1983-01-01,8634
1983-02-01,8660
1983-03-01,8677
1983-04-01,8686
1983-05-01,8682
1983-06-01,8676
1983-07-01,8647
1983-08-01,8653
1983-09-01,8666
1983-10-01,8654
1983-11-01,8624
1983-12-01,8612
1984-01-01,8659
1984-02-01,8726
1984-03-01,8718
1984-04-01,8688
1984-05-01,8753
1984-06-01,8743
1984-07-01,8769
1984-08-01,8781
1984-09-01,8759
1984-10-01,8847
1984-11-01,8846
1984-12-01,8797
1985-01-01,8929
1985-02-01,8928
1985-03-01,8927
1985-04-01,8842
1985-05-01,8969
1985-06-01,8965
1985-07-01,8904
1985-08-01,8895
1985-09-01,8874
1985-10-01,8943
1985-11-01,8932
1985-12-01,8930
1986-01-01,8942
1986-02-01,8939
1986-03-01,8939
1986-04-01,8815
1986-05-01,8805
1986-06-01,8792
1986-07-01,8737
1986-08-01,8708
1986-09-01,8671
1986-10-01,8773
1986-11-01,8321
1986-12-01,8348
1987-01-01,8354
1987-02-01,8383
1987-03-01,8336
1987-04-01,8361
1987-05-01,8296
1987-06-01,8303
1987-07-01,8287
1987-08-01,8204
1987-09-01,8162
1987-10-01,8281
1987-11-01,8283
1987-12-01,8348
1988-01-01,8395
1988-02-01,8353
1988-03-01,8306
1988-04-01,8269
1988-05-01,8240
1988-06-01,8210
1988-07-01,8189
1988-08-01,8128
1988-09-01,8147
1988-10-01,8085
1988-11-01,8026
1988-12-01,8035
1989-01-01,8021
1989-02-01,7965
1989-03-01,7921
1989-04-01,7880
1989-05-01,7843
1989-06-01,7726
1989-07-01,7622
1989-08-01,7662
1989-09-01,7641
1989-10-01,7644
1989-11-01,7601
1989-12-01,7565
1990-01-01,7512
1990-02-01,7399
1990-03-01,7411
1990-04-01,7310
1990-05-01,7241
1990-06-01,6981
1990-07-01,7130
1990-08-01,6971
1990-09-01,7041
1990-10-01,7329
1990-11-01,7235
1990-12-01,7559
1991-01-01,7219
1991-02-01,7415
1991-03-01,7383
1991-04-01,7346
1991-05-01,7323
1991-06-01,7377
1991-07-01,7355
1991-08-01,7274
1991-09-01,7365
1991-10-01,7384
1991-11-01,7226
1991-12-01,7449
1992-01-01,7357
1992-02-01,7365
1992-03-01,7283
1992-04-01,7238
1992-05-01,7219
1992-06-01,7194
1992-07-01,7059
1992-08-01,6678
1992-09-01,7049
1992-10-01,7041
1992-11-01,7064
1992-12-01,7053
1993-01-01,7035
1993-02-01,6981
1993-03-01,6964
1993-04-01,6913
1993-05-01,6842
1993-06-01,6749
1993-07-01,6730
1993-08-01,6790
1993-09-01,6650
1993-10-01,6868
1993-11-01,6878
1993-12-01,6857
1994-01-01,6886
1994-02-01,6792
1994-03-01,6599
1994-04-01,6748
1994-05-01,6629
1994-06-01,6656
1994-07-01,6566
1994-08-01,6583
1994-09-01,6640
1994-10-01,6633
1994-11-01,6626
1994-12-01,6675
1995-01-01,6526
1995-02-01,6546
1995-03-01,6380
1995-04-01,6539
1995-05-01,6626
1995-06-01,6545
1995-07-01,6484
1995-08-01,6483
1995-09-01,6450
1995-10-01,6512
1995-11-01,6484
1995-12-01,6474
1996-01-01,6405
1996-02-01,6501
1996-03-01,6440
1996-04-01,6173
1996-05-01,6392
1996-06-01,6489
1996-07-01,6394
1996-08-01,6526
1996-09-01,6520
1996-10-01,6514
1996-11-01,6538
1996-12-01,6506
1997-01-01,6505
1997-02-01,6501
1997-03-01,6409
1997-04-01,6465
1997-05-01,6439
1997-06-01,6357
1997-07-01,6337
1997-08-01,6400
1997-09-01,6396
1997-10-01,6400
1997-11-01,6416
1997-12-01,6462
1998-01-01,6377
1998-02-01,6368
1998-03-01,6405
1998-04-01,6397
1998-05-01,6346
1998-06-01,6269
1998-07-01,6340
1998-08-01,6346
1998-09-01,6396
1998-10-01,6417
1998-11-01,6401
1998-12-01,6437
1999-01-01,6363
1999-02-01,5911
1999-03-01,5864
1999-04-01,5877
1999-05-01,5845
1999-06-01,5884
1999-07-01,5898
1999-08-01,5994
1999-09-01,5973
1999-10-01,6111
1999-11-01,6006
1999-12-01,6043
2000-01-01,5988
2000-02-01,6007
2000-03-01,5873
2000-04-01,5838
2000-05-01,5784
2000-06-01,5732
2000-07-01,5764
2000-08-01,5782
2000-09-01,5862
2000-10-01,5894
2000-11-01,5883
2000-12-01,5903
2001-01-01,5935
2001-02-01,5875
2001-03-01,5883
2001-04-01,5884
2001-05-01,5819
2001-06-01,5756
2001-07-01,5705
2001-08-01,5751
2001-09-01,5735
2001-10-01,5879
2001-11-01,5873
2001-12-01,5902
2002-01-01,5909
2002-02-01,5956
2002-03-01,5956
2002-04-01,5865
2002-05-01,5896
2002-06-01,5917
2002-07-01,5844
2002-08-01,5883
2002-09-01,5190
2002-10-01,5714
2002-11-01,5740
2002-12-01,5749
2003-01-01,5764
2003-02-01,5901
2003-03-01,5906
2003-04-01,5766
2003-05-01,5837
2003-06-01,5867
2003-07-01,5699
2003-08-01,5723
2003-09-01,5734
2003-10-01,5550
2003-11-01,5709
2003-12-01,5658
2004-01-01,5710
2004-02-01,5661
2004-03-01,5658
2004-04-01,5624
2004-05-01,5460
2004-06-01,5394
2004-07-01,5367
2004-08-01,5401
2004-09-01,4946
2004-10-01,5176
2004-11-01,5408
2004-12-01,5430
2005-01-01,5437
2005-02-01,5492
2005-03-01,5496
2005-04-01,5423
2005-05-01,5537
2005-06-01,5359
2005-07-01,5149
2005-08-01,5427
2005-09-01,3813
2005-10-01,4068
2005-11-01,4765
2005-12-01,4864
2006-01-01,4862
2006-02-01,4985
2006-03-01,5024
2006-04-01,5122
2006-05-01,5088
2006-06-01,5129
2006-07-01,4940
2006-08-01,5099
2006-09-01,5151
2006-10-01,5307
2006-11-01,5030
2006-12-01,5369
2007-01-01,5224
2007-02-01,5285
2007-03-01,5243
2007-04-01,5089
2007-05-01,5148
2007-06-01,5122
2007-07-01,5206
2007-08-01,5021
2007-09-01,5064
2007-10-01,5114
2007-11-01,5133
2007-12-01,5078
2008-01-01,4998
2008-02-01,5050
2008-03-01,5087
2008-04-01,5098
2008-05-01,5139
2008-06-01,5123
2008-07-01,5160
2008-08-01,5097
2008-09-01,3839
2008-10-01,4776
2008-11-01,5118
2008-12-01,4979
2009-01-01,5235
2009-02-01,5373
2009-03-01,5480
2009-04-01,5269
2009-05-01,5358
2009-06-01,5163
2009-07-01,5246
2009-08-01,5244
2009-09-01,5375
2009-10-01,5391
2009-11-01,5561
2009-12-01,5512
2010-01-01,5403
2010-02-01,5510
2010-03-01,5489
2010-04-01,5522
2010-05-01,5320
2010-06-01,5257
2010-07-01,5440
2010-08-01,5602
2010-09-01,5562
2010-10-01,5593
2010-11-01,5555
2010-12-01,5598
2011-01-01,5568
2011-02-01,5591
2011-03-01,5568
2011-04-01,5623
2011-05-01,5609
2011-06-01,5593
2011-07-01,5523
2011-08-01,5598
2011-09-01,5800
2011-10-01,5818
2011-11-01,5864
2011-12-01,5851
2012-01-01,5720
2012-02-01,5814
2012-03-01,6049
2012-04-01,6121
2012-05-01,6227
2012-06-01,6094
2012-07-01,6320
2012-08-01,5486
2012-09-01,6520
2012-10-01,6669
2012-11-01,6817
2012-12-01,6985
2013-01-01,6993
2013-02-01,7096
2013-03-01,7151
2013-04-01,7312
2013-05-01,7300
2013-06-01,7267
2013-07-01,7542
2013-08-01,7621
2013-09-01,7784
2013-10-01,7853
2013-11-01,8011
2013-12-01,8121
2014-01-01,8044
2014-02-01,8077
2014-03-01,8192
2014-04-01,8352
2014-05-01,8383
2014-06-01,8442
2014-07-01,8443
2014-08-01,8630
2014-09-01,8837
2014-10-01,8972
2014-11-01,9083
2014-12-01,9121
2015-01-01,9177
2015-02-01,9324
2015-03-01,9386
2015-04-01,9373
2015-05-01,9586
2015-06-01,9595
2015-07-01,9465
2015-08-01,9218
2015-09-01,9096
2015-10-01,9160
2015-11-01,9202
2015-12-01,9202
2016-01-01,9214
2016-02-01,9077
2016-03-01,9022
2016-04-01,8825
2016-05-01,8735
2016-06-01,8622
2016-07-01,8460
2016-08-01,8488
2016-09-01,8467
2016-10-01,8522
2016-11-01,8699
2016-12-01,8770
2017-01-01,8915
2017-02-01,9032
2017-03-01,9199
2017-04-01,9293
2017-05-01,9342
2017-06-01,9338
2017-07-01,9430
2017-08-01,9530
2017-09-01,9561
2017-10-01,9553
2017-11-01,9682
2017-12-01,9782
2018-01-01,9919
2018-02-01,10283
2018-03-01,10460
2018-04-01,10619
2018-05-01,10769
2018-06-01,10900
2018-07-01,10900
2018-08-01,11000
2018-09-01,11100
2018-10-01,11200
2018-11-01,11700
2018-12-01,11700
2019-01-01,11900
2019-02-01,12100
2019-03-01,12200
2019-04-01,12300
2019-05-01,12400
2019-06-01,12200
2019-07-01,12200
2019-08-01,12400
2019-09-01,12400
2019-10-01,12600
2019-11-01,12900
2019-12-01,12900
2020-01-01,12900
2020-02-01,13100
2020-03-01,13000
2020-04-01,12100
2020-05-01,11200
2020-06-01,11000
2020-07-01,11000
2020-08-01,9700
2020-09-01,10700
2020-10-01,10500
2020-11-01,11100
2020-12-01,11000
2021-01-01,10900
2021-02-01,10800
